sampleid	amplicon	timepoint	experimental_factor	control_vec	sampling_date	extraction_plate	indexing_plate	extr_conc_ng_ul	seq_pool	family	population	strategy	strategy_simple	classification	block	DBH23	NR_AUDPS_BV	NR_AUDPS_BV_group	NR_AUDPS_raw	NR_AUDPS_raw_group	DNB_AUDPS_BV	DNB_AUDPS_BV_group	DNB_AUDPS_raw	DNB_AUDPS_raw_group
CR9-7320-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	62.8	T1_run1	CR9	CR	HighNR	Resistant	Hyper-oceanic	D	16.71	-1.17874651	Resistant	-13.6	Resistant	0.33058831	Average	20.66666667	Average
RM10-7352-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	68.4	T1_run1	RM10	RM	Average	Average	Cairngorms	D	12.73	0.15494337	Average	-9.533333334	Average	0.14153294	Average	21.2	Average
CR3-7445-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	60	T1_run1	CR3	CR	Average	Average	Hyper-oceanic	D	15.28	-0.42688008	Average	-12.43333333	Resistant	4.16016178	Susceptible	42.93333334	Average
CG8-7544-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	66	T1_run1	CG8	CG	HighDNB	Susceptible	Hyper-oceanic	D	10.19	0.42815626	Average	-9.183333332	Average	3.85186767	Susceptible	43.86666667	Susceptible
EP1-Idx-Blank-T1-ITS	ITS	T1	control [EFO_0001461]	control		EP1	IP1		T1_run1	Idx-Blank	Idx-Blank													
AC7-7032-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP1		T1_run1	AC7	AC	Average	Average	Cairngorms	D	12.89	-0.71103673	Average	-8.7	Average	2.45923388	Average	27.6	Average
BE5-7509-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	52.8	T1_run1	BE5	BE	HighDNB	Susceptible	Hyper-oceanic	D	15.12	0.0328845	Average	-8.35	Average	0.27581927	Average	28.86666667	Average
GT1-7407-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	53.4	T1_run1	GT1	GT	HighNR	Resistant	Cairngorms	C	11.46	-1.18326896	Resistant	-13.26666667	Resistant	0.38984167	Average	19.06666667	Average
GC1-7085-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	52.2	T1_run1	GC1	GC	HighDNB	Susceptible	Central Atlantic	C	15.76	-0.62011794	Average	-11.05	Average	4.30987914	Susceptible	46.86666667	Susceptible
AC9-7660-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	49	T1_run1	AC9	AC	LowNR	Susceptible	Cairngorms	C	7.32	1.73494959	Susceptible	-3.3	Susceptible	2.0688868	Average	35.66666667	Average
EP1-Amp-Blank-T1-ITS	ITS	T1	control [EFO_0001461]	control		EP1	IP1		T1_run1	Amp-Blank	Amp-Blank													
BB1-7504-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	49.4	T1_run1	BB1	BB	Vulnerable	Susceptible	Cairngorms	C	8.91	0.64155139	Average	-5.1	Susceptible	-0.32951826	Average	14.26666667	Resistant
BE4-7607-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	43.4	T1_run1	BE4	BE	Average	Average	Hyper-oceanic	D	13.69	-1.18514252	Resistant	-11.31666667	Average	-2.82298032	Average	20.66666667	Average
RM4-7411-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	69	T1_run1	RM4	RM	Vulnerable	Susceptible	Cairngorms	D	14.16	1.07182423	Susceptible	-6.6	Susceptible	-4.00900135	Resistant	14	Resistant
CG2-7148-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	68.4	T1_run1	CG2	CG	Resistant	Resistant	Hyper-oceanic	C	14.8	-1.18217533	Resistant	-14	Resistant	-3.50673114	Resistant	15.86666667	Average
GT6-7349-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP1		T1_run1	GT6	GT	Average	Average	Cairngorms	D	13.37	-0.76070019	Average	-9.933333334	Average	0.6101444	Average	32.26666667	Average
GT5-7309-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	68.6	T1_run1	GT5	GT	HighDNB	Susceptible	Cairngorms	C	14.8	0.85752577	Average	-7.416666666	Average	4.44265915	Susceptible	53.6	Susceptible
BW2-7628-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	67.6	T1_run1	BW2	BW	LowDNB	Resistant	Central Atlantic	C	12.25	-0.54464083	Average	-9.533333332	Average	-1.0690665	Average	15.26666667	Average
EP1-Syn-Rep1-T1-ITS	ITS	T1	replicate [EFO_0000683]	sample		EP1	IP1		T1_run1	Syn-Rep	Syn-Rep													
BW6-7567-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	61.4	T1_run1	BW6	BW	LowNR	Susceptible	Central Atlantic	C	1.11	2.08165628	Susceptible	-2.533333334	Susceptible	-0.98180021	Average	15.73333333	Average
AC9-7346-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	70.6	T1_run1	AC9	AC	Vulnerable	Susceptible	Cairngorms	D	10.35	1.39675207	Susceptible	-4.766666668	Susceptible	-3.52991143	Resistant	14.26666667	Resistant
BB7-7181-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	26.2	T1_run1	BB7	BB	Average	Average	Cairngorms	C	11.62	-0.12924936	Average	-9.45	Average	-1.64343114	Average	20.4	Average
GE9-7053-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	50.2	T1_run1	GE9	GE	LowNR	Susceptible	Central Atlantic	C	7.8	1.81861478	Susceptible	-5.633333334	Susceptible	-0.29538596	Average	23.86666667	Average
BW6-7284-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	49.8	T1_run1	BW6	BW	Average	Average	Central Atlantic	D	7.51	0.03732835	Average	-9.65	Average	0.63074748	Average	24.93333333	Average
GC9-7275-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	52	T1_run1	GC9	GC	Average	Average	Central Atlantic	C	18.46	-0.74121909	Average	-11.86666667	Average	-0.65993	Average	29.73333334	Average
GE1-7087-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	49.2	T1_run1	GE1	GE	LowNR	Susceptible	Central Atlantic	C	9.55	1.85900207	Susceptible	-4.333333334	Susceptible	-0.99863285	Average	22.86666667	Average
GT8-7341-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	54.8	T1_run1	GT8	GT	Average	Average	Cairngorms	C	12.41	-0.6754342	Average	-10.56666667	Average	-1.06813724	Average	22.06666667	Average
BE4-7663-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	57.2	T1_run1	BE4	BE	Vulnerable	Susceptible	Hyper-oceanic	C	7.16	-0.00642773	Average	-6.1	Susceptible	-5.76181272	Resistant	7.6	Resistant
BB3-7126-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	IP1	42.2	T1_run1	BB3	BB	Resistant	Resistant	Cairngorms	D	13.85	-2.0802967	Resistant	-12.4	Resistant	-3.95370475	Resistant	12.13333333	Resistant
EP1-Syn-Rep2-T1-ITS	ITS	T1	replicate [EFO_0000683]	sample		EP1	IP1		T1_run1	Syn-Rep	Syn-Rep													
