Sample_ID	Control_description	Control_type	Timepoint	Extraction_plate	Well	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	Final_reads_per_sample	Notes
EP1-Amp-Blank-T1-ITS	Negative control added at the amplicon PCR stage for extraction plate EP1	Amp-Blank	T1	EP1	E2	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
EP2-Amp-Blank-T1-ITS	Negative control added at the amplicon PCR stage for extraction plate EP2	Amp-Blank	T1	EP2	F6	75723	NA	NA	NA	NA	NA	NA	NA	Dropped out during quality filtering
EP3-Amp-Blank-T1-ITS	Negative control added at the amplicon PCR stage for extraction plate EP3	Amp-Blank	T1	EP3	G2	16594	145	145	145	145	145	145	145	Reads retained in control throughout processing
EP1-DNAblank-T1-ITS	Negative control added at the DNA extraction stage for extraction plate EP1	DNAblank	T1	EP1	H11	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
EP2-DNAblank-T1-ITS	Negative control added at the DNA extraction stage for extraction plate EP2	DNAblank	T1	EP2	D9	110183	59	40	37	37	37	37	37	Reads retained in control throughout processing
EP3-DNAblank-T1-ITS	Negative control added at the DNA extraction stage for extraction plate EP3	DNAblank	T1	EP3	F4	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
EP1-DNAblank-T1-ITS-Rep2	Negative control added at the DNA extraction stage for extraction plate EP3	DNAblank	T1	T1_repeats	G4	0	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
EP1-Idx-Blank-T1-ITS	Negative control added at the indexing PCR stage for extraction plate EP1	Idx-Blank	T1	EP1	G1	71145	NA	NA	NA	NA	NA	NA	NA	Dropped out during quality filtering
EP2-Idx-Blank-T1-ITS	Negative control added at the indexing PCR stage for extraction plate EP2	Idx-Blank	T1	EP2	E12	49443	263	241	239	239	209	209	209	Reads retained in control throughout processing
EP3-Idx-Blank-T1-ITS	Negative control added at the indexing PCR stage for extraction plate EP3	Idx-Blank	T1	EP3	B3	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
EP1-Pine-Rep1-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP1	Pine-Rep	T1	EP1	D5	462690	362127	361877	359176	356032	329096	329096	329014	Reads retained in control throughout processing
EP2-Pine-Rep1-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP2	Pine-Rep	T1	EP2	B1	240401	224412	224058	220312	218951	202097	202097	202097	Reads retained in control throughout processing
EP3-Pine-Rep1-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP3	Pine-Rep	T1	EP3	A1	497463	469870	469258	463802	459426	420129	420129	420082	Reads retained in control throughout processing
EP1-Pine-Rep2-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP1	Pine-Rep	T1	EP1	B6	229593	195464	195187	193420	191958	176959	176959	176942	Reads retained in control throughout processing
EP2-Pine-Rep2-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP2	Pine-Rep	T1	EP2	G2	265545	246907	246517	241811	239867	217452	217452	217446	Reads retained in control throughout processing
EP3-Pine-Rep2-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP3	Pine-Rep	T1	EP3	E3	429804	402648	402093	398993	395395	361018	361018	361006	Reads retained in control throughout processing
EP1-Pine-Rep3-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP1	Pine-Rep	T1	EP1	G8	195401	163667	163514	162029	160902	149233	149233	149214	Reads retained in control throughout processing
EP2-Pine-Rep3-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP2	Pine-Rep	T1	EP2	C8	631160	588728	588148	576045	569812	514069	514069	514061	Reads retained in control throughout processing
EP3-Pine-Rep3-T1-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP3	Pine-Rep	T1	EP3	C4	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
EP1-Syn-Extr-T1-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP1	Syn-Extr	T1	EP1	A10	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
EP2-Syn-Extr-T1-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP2	Syn-Extr	T1	EP2	H4	276598	149809	149804	148936	148936	148748	148748	148748	Reads retained in control throughout processing
EP3-Syn-Extr-T1-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP3	Syn-Extr	T1	EP3	F1	194000	106655	106652	94958	94958	94873	94873	94873	Reads retained in control throughout processing
