Sample_ID	Sampling_timepoint	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	Final_reads_per_sample
EP1-Idx-Blank-T1-ITS	T1	71145	NA	NA	NA	NA	NA	NA	NA
EP1-Pine-Rep1-T1-ITS	T1	462690	362127	361877	359176	356032	329096	329096	329014
EP1-Pine-Rep2-T1-ITS	T1	229593	195464	195187	193420	191958	176959	176959	176942
EP1-Pine-Rep3-T1-ITS	T1	195401	163667	163514	162029	160902	149233	149233	149214
EP1-Syn-Rep1-T1-ITS	T1	207867	57836	57836	51430	51430	51017	51017	51017
EP1-Syn-Rep2-T1-ITS	T1	282287	56509	56509	50177	50177	49679	49679	49679
EP1-Syn-Rep3-T1-ITS	T1	211233	45233	45232	45111	45111	44808	44808	44808
EP1-Syn-Rep4-T1-ITS	T1	119014	29580	29580	26288	26288	26119	26119	26119
EP3-Amp-Blank-T1-ITS	T1	16594	145	145	145	145	145	145	145
EP3-Pine-Rep1-T1-ITS	T1	497463	469870	469258	463802	459426	420129	420129	420082
EP3-Pine-Rep2-T1-ITS	T1	429804	402648	402093	398993	395395	361018	361018	361006
EP3-Syn-Extr-T1-ITS	T1	194000	106655	106652	94958	94958	94873	94873	94873
EP3-Syn-Rep2-T1-ITS	T1	373857	213527	213526	190355	190355	190117	190117	190117
EP3-Syn-Rep3-T1-ITS	T1	380435	222494	222481	199573	199573	199250	199250	199250
EP3-Syn-Rep4-T1-ITS	T1	306308	181641	181640	162700	162700	162441	162441	162441
EP2-Amp-Blank-T1-ITS	T1	75723	NA	NA	NA	NA	NA	NA	NA
EP2-DNAblank-T1-ITS	T1	110183	59	40	37	37	37	37	37
EP2-Idx-Blank-T1-ITS	T1	49443	263	241	239	239	209	209	209
EP2-Pine-Rep1-T1-ITS	T1	240401	224412	224058	220312	218951	202097	202097	202097
EP2-Pine-Rep2-T1-ITS	T1	265545	246907	246517	241811	239867	217452	217452	217446
EP2-Pine-Rep3-T1-ITS	T1	631160	588728	588148	576045	569812	514069	514069	514061
EP2-Syn-Extr-T1-ITS	T1	276598	149809	149804	148936	148936	148748	148748	148748
EP2-Syn-Rep1-T1-ITS	T1	279627	166217	166205	165096	165096	164881	164881	164881
EP2-Syn-Rep2-T1-ITS	T1	99475	59021	58978	58736	58736	58669	58669	58669
EP2-Syn-Rep3-T1-ITS	T1	494669	319208	319208	315563	315563	315200	315200	315200
EP2-Syn-Rep4-T1-ITS	T1	360356	230664	230552	229235	228821	228432	228432	228432
EP4-Amp-Blank-T2-ITS	T2	12069	NA	NA	NA	NA	NA	NA	NA
EP4-DNAblank-T2-ITS	T2	16736	NA	NA	NA	NA	NA	NA	NA
EP4-Idx-Blank-T2-ITS	T2	77460	NA	NA	NA	NA	NA	NA	NA
EP4-Pine-Rep1-T2-ITS	T2	283870	248850	248455	244932	242705	220450	220450	220450
EP4-Pine-Rep2-T2-ITS	T2	212549	185863	185488	184828	183138	167743	167743	167733
EP4-Pine-Rep3-T2-ITS	T2	748946	655443	654754	647142	641039	584201	584201	584183
EP4-Syn-Extr-T2-ITS	T2	503234	283709	283705	279718	279718	279565	279565	279565
EP4-Syn-Rep1-T2-ITS	T2	206711	118398	118398	116894	116894	116837	116837	116837
EP4-Syn-Rep2-T2-ITS	T2	234679	129479	129367	128429	128429	128338	128338	128338
EP4-Syn-Rep3-T2-ITS	T2	192889	109704	109702	108991	108991	108932	108932	108932
EP4-Syn-Rep4-T2-ITS	T2	437798	256248	256246	253653	253653	253527	253527	253527
EP6-Amp-Blank-T2-ITS	T2	104293	16853	16851	16847	16847	16847	16847	16847
EP6-DNAblank-T2-ITS	T2	86284	1	1	1	1	1	1	1
EP6-Idx-Blank-T2-ITS	T2	93577	585	584	584	584	584	584	584
EP6-Pine-Rep1-T2-ITS	T2	240088	208795	208535	206675	205287	185528	185528	185523
EP6-Pine-Rep2-T2-ITS	T2	257043	225878	225463	223207	221047	200146	200146	200142
EP6-Pine-Rep3-T2-ITS	T2	211557	185794	185449	183795	181998	166042	166042	166018
EP6-Syn-Extr-T2-ITS	T2	181340	94765	94740	93633	93633	93502	93502	93502
EP6-Syn-Rep1-T2-ITS	T2	176472	95842	95840	95039	95039	94844	94844	94844
EP6-Syn-Rep2-T2-ITS	T2	167175	90842	90842	89881	89881	89798	89798	89798
EP6-Syn-Rep3-T2-ITS	T2	234939	129803	129803	128324	128324	128140	128140	128140
EP6-Syn-Rep4-T2-ITS	T2	163701	91449	91449	90279	90279	90112	90112	90112
EP5-Amp-Blank-T2-ITS	T2	236454	1	1	1	1	1	1	1
EP5-DNAblank-T2-ITS	T2	208696	77	73	70	70	70	70	70
EP5-Idx-Blank-T2-ITS	T2	281458	NA	NA	NA	NA	NA	NA	NA
EP5-Pine-Rep1-T2-ITS	T2	377631	340393	339380	333338	331048	301234	301234	301216
EP5-Pine-Rep2-T2-ITS	T2	243408	219195	218830	214162	212400	193480	193480	193475
EP5-Pine-Rep3-T2-ITS	T2	365622	333976	333563	326140	323611	293499	293499	293483
EP5-Syn-Extr-T2-ITS	T2	282090	125437	125436	122945	122945	122660	122660	122660
EP5-Syn-Rep1-T2-ITS	T2	289808	135307	135306	132677	132677	132146	132146	132146
EP5-Syn-Rep2-T2-ITS	T2	217196	126892	126892	124257	124257	123927	123927	123927
EP5-Syn-Rep3-T2-ITS	T2	228034	128796	128794	126323	126323	125956	125956	125956
EP5-Syn-Rep4-T2-ITS	T2	361531	197781	197605	193623	193623	193316	193316	193316
EP7-Amp-Blank-T3-ITS	T3	57456	24743	24742	24678	24678	24676	24676	24676
EP7-DNAblank-T3-ITS	T3	123306	79323	79309	78379	78379	78379	78379	78379
EP7-Idx-Blank-T3-ITS	T3	29732	10936	10934	10934	10934	9522	9522	9522
EP7-Pine-Rep1-T3-ITS	T3	273127	239605	239200	238257	236228	215141	215141	215111
EP7-Pine-Rep2-T3-ITS	T3	369824	322703	322156	320957	317956	288601	288601	288577
EP7-Pine-Rep3-T3-ITS	T3	162655	142176	141751	141150	140214	127958	127958	127943
EP7-Syn-Extr-T3-ITS	T3	195522	91594	91584	91226	91226	91175	91175	91175
EP7-Syn-Rep1-T3-ITS	T3	181506	87363	87363	86909	86909	86841	86841	86841
