Sample_ID	Tree_genotype	Tree_provenance_pop	Tree_provenance_fam	Sampling_timepoint	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	No_unassigned	Final_reads_per_sample
AC1-7050-T1-ITS	7050	AC	AC1	T1	0	NA	NA	NA	NA	NA	NA	NA	NA
AC1-7230-T1-ITS	7230	AC	AC1	T1	351990	320006	319587	312932	310819	259411	259411	259404	259404
AC1-7329-T1-ITS	7329	AC	AC1	T1	282705	253593	253226	246206	244947	208315	208315	208315	208315
AC2-7049-T1-ITS	7049	AC	AC2	T1	240183	166189	166009	164559	163553	149499	149499	149499	149499
AC2-7291-T1-ITS	7291	AC	AC2	T1	333480	312297	311850	306419	304329	285483	285483	285480	285480
AC2-7464-T1-ITS	7464	AC	AC2	T1	263018	242519	242170	237154	236015	208699	208699	208685	208685
AC2-7474-T1-ITS	7474	AC	AC2	T1	192866	180724	180390	175603	174601	161889	161889	161889	161889
AC7-7032-T1-ITS	7032	AC	AC7	T1	204864	192509	192143	189410	186612	164396	164396	164381	164381
AC7-7439-T1-ITS	7439	AC	AC7	T1	195363	181861	181526	179719	178802	155454	155454	155447	155447
AC7-7592-T1-ITS	7592	AC	AC7	T1	479030	443892	443591	435471	431991	361099	361099	361099	361099
AC7-7611-T1-ITS	7611	AC	AC7	T1	647037	589285	588946	579466	573904	480641	480641	480609	480609
AC8-7174-T1-ITS	7174	AC	AC8	T1	113049	105310	104972	102993	102036	89090	89090	89080	89080
AC8-7184-T1-ITS	7184	AC	AC8	T1	147122	88116	87985	86858	86405	75369	75369	75369	75369
AC8-7453-T1-ITS	7453	AC	AC8	T1	182824	167126	166844	163658	162212	124228	124228	124221	124221
AC8-7541-T1-ITS	7541	AC	AC8	T1	322396	235686	235449	233857	232748	173061	173061	173061	173061
AC9-7099-T1-ITS	7099	AC	AC9	T1	326835	307093	306794	301611	299349	269666	269666	269666	269666
AC9-7142-T1-ITS	7142	AC	AC9	T1	227474	0	0	0	0	NA	NA	NA	NA
AC9-7346-T1-ITS	7346	AC	AC9	T1	226273	193140	192750	192442	191374	178240	178240	178211	178211
AC9-7660-T1-ITS	7660	AC	AC9	T1	257616	216165	215894	211622	210183	168717	168717	168717	168717
BB1-7232-T1-ITS	7232	BB	BB1	T1	339049	316342	315884	309844	307744	276055	276055	276023	276023
BB1-7238-T1-ITS	7238	BB	BB1	T1	617107	570755	570170	560942	555655	505521	505521	505486	505486
BB1-7504-T1-ITS	7504	BB	BB1	T1	190241	162349	162137	161805	160307	144936	144936	144936	144936
BB2-7039-T1-ITS	7039	BB	BB2	T1	803990	746379	745124	732744	725487	658346	658346	658322	658322
BB2-7055-T1-ITS	7055	BB	BB2	T1	198414	150296	150039	147751	146799	130462	130462	130459	130459
BB2-7542-T1-ITS	7542	BB	BB2	T1	220303	156839	156626	155671	155243	142128	142128	142128	142128
BB2-7590-T1-ITS	7590	BB	BB2	T1	195485	180782	180569	178495	177023	151561	151561	151561	151561
BB3-7126-T1-ITS	7126	BB	BB3	T1	174763	136902	136742	136586	136328	129861	129861	129861	129861
BB3-7657-T1-ITS	7657	BB	BB3	T1	172160	100414	100251	100047	99878	93771	93771	93771	93771
BB5-7171-T1-ITS	7171	BB	BB5	T1	313742	291016	290719	284340	282573	250409	250409	250409	250409
BB5-7326-T1-ITS	7326	BB	BB5	T1	267736	248339	247913	243938	242561	219615	219615	219613	219613
