sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
AC2-7049-T1-ITS	173368	166189	95.86	166009	164559	94.92	163553	94.34
AC2-7474-T1-ITS	188070	180724	96.09	180390	175603	93.37	174601	92.84
AC7-7032-T1-ITS	200691	192509	95.92	192143	189410	94.38	186612	92.98
AC7-7439-T1-ITS	190515	181861	95.46	181526	179719	94.33	178802	93.85
AC8-7184-T1-ITS	92709	88116	95.05	87985	86858	93.69	86405	93.2
AC9-7346-T1-ITS	202886	193140	95.2	192750	192442	94.85	191374	94.33
AC9-7660-T1-ITS	227388	216165	95.06	215894	211622	93.07	210183	92.43
BB1-7504-T1-ITS	169273	162349	95.91	162137	161805	95.59	160307	94.7
BB2-7055-T1-ITS	157280	150296	95.56	150039	147751	93.94	146799	93.34
BB2-7542-T1-ITS	164023	156839	95.62	156626	155671	94.91	155243	94.65
BB3-7126-T1-ITS	142647	136902	95.97	136742	136586	95.75	136328	95.57
BB3-7657-T1-ITS	104820	100414	95.8	100251	100047	95.45	99878	95.29
BB5-7600-T1-ITS	111708	107856	96.55	107640	106888	95.69	106650	95.47
BB7-7181-T1-ITS	273149	261432	95.71	261086	260416	95.34	259299	94.93
BB7-7224-T1-ITS	127234	121484	95.48	121161	119579	93.98	118916	93.46
BE2-7500-T1-ITS	92905	88894	95.68	88674	87755	94.46	87468	94.15
BE3-7156-T1-ITS	164068	157163	95.79	156886	156428	95.34	155533	94.8
BE3-7245-T1-ITS	96217	91569	95.17	91360	91121	94.7	90874	94.45
BE4-7607-T1-ITS	159028	151862	95.49	151626	150250	94.48	149369	93.93
BE4-7663-T1-ITS	159610	153475	96.16	153308	151212	94.74	150277	94.15
BE5-7132-T1-ITS	128284	122496	95.49	122278	121898	95.02	120500	93.93
BE5-7146-T1-ITS	166319	157043	94.42	156874	156031	93.81	155296	93.37
BE5-7509-T1-ITS	148239	142158	95.9	141556	141269	95.3	140325	94.66
BW10-7534-T1-ITS	162417	156535	96.38	156240	154182	94.93	152351	93.8
BW10-7633-T1-ITS	147467	141068	95.66	140710	139800	94.8	139296	94.46
BW2-7025-T1-ITS	137771	133256	96.72	132866	132341	96.06	131683	95.58
BW2-7628-T1-ITS	214183	204824	95.63	204482	202573	94.58	202037	94.33
BW3-7101-T1-ITS	152017	145034	95.41	144829	144545	95.08	143842	94.62
BW6-7035-T1-ITS	160860	153576	95.47	153298	151741	94.33	150761	93.72
BW6-7284-T1-ITS	261059	247742	94.9	247531	246978	94.61	246132	94.28
BW6-7567-T1-ITS	143653	138253	96.24	138170	137214	95.52	136541	95.05
BW7-7506-T1-ITS	62368	59639	95.62	59508	58719	94.15	58422	93.67
BW7-7593-T1-ITS	209975	200844	95.65	200635	200049	95.27	199539	95.03
CG2-7148-T1-ITS	244189	234435	96.01	234248	233164	95.49	232097	95.05
CG2-7160-T1-ITS	116622	111127	95.29	110971	108460	93	107970	92.58
CG3-7376-T1-ITS	91038	87062	95.63	86916	85889	94.34	85263	93.66
CG3-7382-T1-ITS	72728	69363	95.37	69179	69028	94.91	68745	94.52
CG4-7406-T1-ITS	218780	210610	96.27	210429	210012	95.99	209333	95.68
CG7-7434-T1-ITS	135870	128844	94.83	128665	126999	93.47	126038	92.76
CG7-7574-T1-ITS	99746	95469	95.71	95253	94904	95.15	94523	94.76
CG8-7084-T1-ITS	151182	145521	96.26	145320	144763	95.75	144269	95.43
CG8-7544-T1-ITS	160246	153347	95.69	152984	152342	95.07	151690	94.66
CR10-7348-T1-ITS	245728	235394	95.79	235011	233758	95.13	232985	94.81
CR3-7445-T1-ITS	372242	358705	96.36	358424	354890	95.34	352426	94.68
CR4-7143-T1-ITS	122920	117327	95.45	117131	116732	94.97	116380	94.68
