Sample ID	Frequency	No. of Associated Features
#q2:types	categorical	categorical
AC2-7049-T1-ITS	163,553.0	382
AC2-7474-T1-ITS	174,601.0	458
AC7-7032-T1-ITS	186,612.0	554
AC7-7439-T1-ITS	178,802.0	572
AC8-7184-T1-ITS	86,405.0	390
AC9-7346-T1-ITS	191,374.0	610
AC9-7660-T1-ITS	210,183.0	576
BB1-7504-T1-ITS	160,307.0	519
BB2-7055-T1-ITS	146,799.0	617
BB2-7542-T1-ITS	155,243.0	453
BB3-7126-T1-ITS	136,328.0	311
BB3-7657-T1-ITS	99,878.0	374
BB5-7600-T1-ITS	106,650.0	407
BB7-7181-T1-ITS	259,299.0	520
BB7-7224-T1-ITS	118,916.0	361
BE2-7500-T1-ITS	87,468.0	386
BE3-7156-T1-ITS	155,533.0	412
BE3-7245-T1-ITS	90,874.0	408
BE4-7607-T1-ITS	149,369.0	553
BE4-7663-T1-ITS	150,277.0	451
BE5-7132-T1-ITS	120,500.0	492
BE5-7146-T1-ITS	155,296.0	417
BE5-7509-T1-ITS	140,325.0	436
BW10-7534-T1-ITS	152,351.0	382
BW10-7633-T1-ITS	139,296.0	539
BW2-7025-T1-ITS	131,683.0	468
BW2-7628-T1-ITS	202,037.0	540
BW3-7101-T1-ITS	143,842.0	445
BW6-7035-T1-ITS	150,761.0	518
BW6-7284-T1-ITS	246,132.0	493
BW6-7567-T1-ITS	136,541.0	448
BW7-7506-T1-ITS	58,422.0	313
BW7-7593-T1-ITS	199,539.0	394
CG2-7148-T1-ITS	232,097.0	458
CG2-7160-T1-ITS	107,970.0	357
CG3-7376-T1-ITS	85,263.0	375
CG3-7382-T1-ITS	68,745.0	348
CG4-7406-T1-ITS	209,333.0	464
CG7-7434-T1-ITS	126,038.0	457
CG7-7574-T1-ITS	94,523.0	400
CG8-7084-T1-ITS	144,269.0	367
CG8-7544-T1-ITS	151,690.0	438
CR10-7348-T1-ITS	232,985.0	495
CR3-7445-T1-ITS	352,426.0	653
