sample_id	no_unassigned_reads	no_unassigned_asv
AC2-7049-T1-ITS	149499	323
AC2-7474-T1-ITS	161889	407
AC7-7032-T1-ITS	164381	476
AC7-7439-T1-ITS	155447	500
AC8-7184-T1-ITS	75369	336
AC9-7346-T1-ITS	178211	512
AC9-7660-T1-ITS	168717	498
BB1-7504-T1-ITS	144936	468
BB2-7055-T1-ITS	130459	558
BB2-7542-T1-ITS	142128	408
BB3-7126-T1-ITS	129861	260
BB3-7657-T1-ITS	93771	314
BB5-7600-T1-ITS	102164	360
BB7-7181-T1-ITS	243791	447
BB7-7224-T1-ITS	103872	307
BE2-7500-T1-ITS	77972	344
BE3-7156-T1-ITS	147192	362
BE3-7245-T1-ITS	74711	355
BE4-7607-T1-ITS	124538	479
BE4-7663-T1-ITS	140947	414
BE5-7132-T1-ITS	101700	441
BE5-7146-T1-ITS	144645	355
BE5-7509-T1-ITS	130104	377
BW10-7534-T1-ITS	115996	322
BW10-7633-T1-ITS	124003	470
BW2-7025-T1-ITS	118186	405
BW2-7628-T1-ITS	178293	483
BW3-7101-T1-ITS	125026	387
BW6-7035-T1-ITS	130411	447
BW6-7284-T1-ITS	227144	405
BW6-7567-T1-ITS	130466	411
BW7-7506-T1-ITS	51451	271
BW7-7593-T1-ITS	186410	340
CG2-7148-T1-ITS	202170	390
CG2-7160-T1-ITS	85161	290
CG3-7376-T1-ITS	67065	304
CG3-7382-T1-ITS	65048	297
CG4-7406-T1-ITS	195364	396
CG7-7434-T1-ITS	109421	396
CG7-7574-T1-ITS	81925	332
CG8-7084-T1-ITS	126121	317
CG8-7544-T1-ITS	116450	378
CR10-7348-T1-ITS	205331	405
CR3-7445-T1-ITS	293310	550
CR4-7143-T1-ITS	102940	343
CR4-7211-T1-ITS	164721	415
CR4-7671-T1-ITS	215247	288
CR7-7154-T1-ITS	196497	421
CR7-7183-T1-ITS	105987	368
CR9-7320-T1-ITS	126179	341
EP1-Pine-Rep1-T1-ITS	329014	473
EP1-Pine-Rep2-T1-ITS	176942	415
EP1-Pine-Rep3-T1-ITS	149214	397
EP1-Syn-Rep1-T1-ITS	51017	2
EP1-Syn-Rep2-T1-ITS	49679	2
EP1-Syn-Rep3-T1-ITS	44808	2
EP1-Syn-Rep4-T1-ITS	26119	2
EP3-Amp-Blank-T1-ITS	145	2
EP3-Pine-Rep1-T1-ITS	420082	591
EP3-Pine-Rep2-T1-ITS	361006	569
EP3-Syn-Extr-T1-ITS	94873	19
EP3-Syn-Rep2-T1-ITS	190117	2
EP3-Syn-Rep3-T1-ITS	199250	4
EP3-Syn-Rep4-T1-ITS	162441	2
GC1-7085-T1-ITS	230745	394
GC1-7128-T1-ITS	161102	243
GC2-7276-T1-ITS	113429	372
GC9-7275-T1-ITS	286507	389
GC9-7537-T1-ITS	107580	431
GC9-7589-T1-ITS	139535	401
GE1-7087-T1-ITS	114592	314
GE1-7112-T1-ITS	3810598	1035
GE1-7638-T1-ITS	120699	343
GE2-7383-T1-ITS	172265	351
GE2-7483-T1-ITS	181896	549
GE6-7186-T1-ITS	128342	296
GE6-7213-T1-ITS	154753	394
GE7-7575-T1-ITS	95953	245
GE7-7658-T1-ITS	157588	346
GE9-7053-T1-ITS	160977	371
GE9-7480-T1-ITS	103481	330
GT1-7384-T1-ITS	135147	373
GT1-7407-T1-ITS	227507	460
GT2-7573-T1-ITS	268100	526
GT5-7107-T1-ITS	123648	584
GT5-7309-T1-ITS	282962	597
GT6-7349-T1-ITS	201964	529
GT6-7595-T1-ITS	74393	308
GT8-7009-T1-ITS	157236	569
GT8-7341-T1-ITS	136883	426
GT8-7420-T1-ITS	127782	472
RM1-7145-T1-ITS	181049	392
RM10-7352-T1-ITS	326084	420
RM10-7402-T1-ITS	146514	325
RM4-7411-T1-ITS	227948	578
RM6-7031-T1-ITS	103026	344
RM6-7120-T1-ITS	133410	376
AC1-7230-T1-ITS	259404	535
AC1-7329-T1-ITS	208315	465
AC2-7291-T1-ITS	285480	471
AC2-7464-T1-ITS	208685	370
AC7-7592-T1-ITS	361099	511
AC7-7611-T1-ITS	480609	533
AC8-7174-T1-ITS	89080	356
AC8-7453-T1-ITS	124221	400
AC9-7099-T1-ITS	269666	646
BB1-7232-T1-ITS	276023	575
