sample ID	forward sequence count	reverse sequence count
AC1-7050-T3-ITS	344228	344228
AC1-7329-T3-ITS	254720	254720
AC2-7049-T3-ITS	389058	389058
AC2-7464-T3-ITS	353573	353573
AC7-7439-T3-ITS	400327	400327
AC7-7592-T3-ITS	508947	508947
AC8-7174-T3-ITS	405811	405811
AC8-7184-T3-ITS	546885	546885
AC8-7541-T1-ITS	255836	255836
AC9-7142-T1-ITS	0	0
AC9-7142-T3-ITS	335092	335092
AC9-7660-T3-ITS	268367	268367
BB1-7504-T3-ITS	352465	352465
BB2-7590-T3-ITS	444362	444362
BB3-7657-T3-ITS	303191	303191
BB5-7171-T3-ITS	393837	393837
BB5-7412-T1-ITS	187886	187886
BB5-7600-T3-ITS	367881	367881
BB7-7181-T3-ITS	612262	612262
BB7-7268-T3-ITS	517407	517407
BE2-7141-T3-ITS	336194	336194
BE2-7500-T3-ITS	729050	729050
BE2-7510-T1-ITS	231103	231103
BE3-7237-T3-ITS	276564	276564
BE3-7245-T3-ITS	404406	404406
BE4-7267-T3-ITS	456126	456126
BE4-7663-T3-ITS	389412	389412
BE5-7146-T3-ITS	311992	311992
BE5-7334-T3-ITS	369887	369887
BE7-7019-T1-ITS	276306	276306
BE7-7019-T3-ITS	410794	410794
BE7-7378-T1-ITS	147602	147602
BE7-7585-T3-ITS	398593	398593
BW2-7362-T3-ITS	352114	352114
BW2-7628-T3-ITS	421348	421348
BW3-7429-T3-ITS	403726	403726
BW3-7594-T1-ITS	268887	268887
BW6-7173-T3-ITS	314688	314688
BW7-7366-T3-ITS	413268	413268
BW7-7593-T3-ITS	288161	288161
CG2-7148-T3-ITS	452690	452690
CG2-7208-T3-ITS	335958	335958
CG3-7376-T3-ITS	463563	463563
CG3-7651-T3-ITS	321538	321538
CG4-7218-T1-ITS	98725	98725
CG4-7425-T3-ITS	367592	367592
CG6-7014-T3-ITS	359722	359722
CG6-7344-T3-ITS	272654	272654
CG7-7434-T3-ITS	327610	327610
CG7-7655-T3-ITS	396328	396328
CG8-7084-T3-ITS	373303	373303
CG8-7522-T3-ITS	317493	317493
CR10-7431-T3-ITS	479496	479496
CR10-7497-T1-ITS	242147	242147
CR3-7338-T1-ITS	180683	180683
CR3-7338-T3-ITS	367984	367984
CR4-7143-T3-ITS	424842	424842
CR4-7211-T3-ITS	200073	200073
CR7-7183-T3-ITS	488217	488217
CR7-7652-T3-ITS	414652	414652
CR9-7298-T3-ITS	295322	295322
CR9-7469-T1-ITS	272664	272664
CR9-7469-T3-ITS	253545	253545
EP3-Syn-Rep1-T1-ITS	183092	183092
EP8-Amp-Blank-T3-ITS	3202	3202
EP8-DNAblank-T3-ITS	4020	4020
EP8-Idx-Blank-T3-ITS	31506	31506
EP8-Pine-Rep1-T3-ITS	326927	326927
EP8-Pine-Rep2-T3-ITS	349968	349968
EP8-Pine-Rep3-T3-ITS	413985	413985
EP8-Syn-Extr-T3-ITS	301171	301171
EP8-Syn-Rep1-T3-ITS	281127	281127
EP8-Syn-Rep2-T3-ITS	292659	292659
EP8-Syn-Rep3-T3-ITS	283241	283241
EP8-Syn-Rep4-T3-ITS	241493	241493
GC2-7078-T3-ITS	352680	352680
GC2-7276-T3-ITS	293889	293889
GC2-7507-T1-ITS	144941	144941
GC5-7089-T1-ITS	104397	104397
GC5-7178-T1-ITS	206034	206034
GC5-7178-T3-ITS	381738	381738
GC5-7457-T3-ITS	340531	340531
GC8-7377-T1-ITS	115884	115884
GC8-7501-T1-ITS	85062	85062
GC8-7501-T3-ITS	343863	343863
GC9-7275-T3-ITS	378504	378504
GC9-7589-T3-ITS	357605	357605
GE1-7087-T3-ITS	339488	339488
GE1-7112-T3-ITS	273433	273433
GE2-7530-T1-ITS	213953	213953
GE2-7555-T3-ITS	308408	308408
GE6-7205-T3-ITS	258842	258842
GE6-7213-T3-ITS	413446	413446
GE8-7242-T3-ITS	439219	439219
GE8-7333-T3-ITS	386030	386030
GE9-7053-T3-ITS	261173	261173
GT1-7236-T3-ITS	253415	253415
GT1-7407-T3-ITS	273544	273544
GT2-7210-T1-ITS	236932	236932
GT2-7210-T3-ITS	251019	251019
GT2-7297-T3-ITS	254145	254145
GT5-7107-T3-ITS	302004	302004
GT5-7309-T3-ITS	340694	340694
GT6-7595-T3-ITS	378389	378389
GT6-7618-T3-ITS	363041	363041
GT8-7009-T3-ITS	414782	414782
GT8-7254-T1-ITS	114311	114311
GT8-7341-T3-ITS	388337	388337
RM1-7145-T3-ITS	435693	435693
RM1-7665-T1-ITS	397178	397178
RM10-7202-T3-ITS	312566	312566
RM10-7402-T3-ITS	414245	414245
RM3-7115-T1-ITS	189039	189039
RM3-7538-T1-ITS	229962	229962
RM3-7623-T3-ITS	376321	376321
RM4-7436-T1-ITS	210754	210754
RM4-7436-T3-ITS	357839	357839
RM4-7620-T3-ITS	389724	389724
RM6-7120-T3-ITS	337408	337408
RM6-7203-T3-ITS	329846	329846
