Sample	rRNAfiltered_R1_Reads	rRNAfiltered_R2_Reads
T2_7002	48415464	48415464
T2_7025	45589209	45589209
T2_7053	48022982	48022982
T2_7055	49285280	49285280
T2_7069	45479092	45479092
T2_7072	49209230	49209230
T2_7078	52287778	52287778
T2_7085	48070615	48070615
T2_7115	54462438	54462438
T2_7128	58267389	58267389
T2_7143	61466198	61466198
T2_7148	57694007	57694007
T2_7154	59523735	59523735
T2_7156	64731409	64731409
T2_7183	53362563	53362563
T2_7197	52469657	52469657
T2_7208	50743221	50743221
T2_7211	52985947	52985947
T2_7237	43630667	43630667
T2_7276	57928201	57928201
T2_7294	73430067	73430067
T2_7326	60777442	60777442
T2_7362	60275248	60275248
T2_7383	51282939	51282939
T2_7396	54770864	54770864
T2_7411	55532172	55532172
T2_7412	48618247	48618247
T2_7436	45397827	45397827
T2_7480	45711749	45711749
T2_7500	51269824	51269824
T2_7507	45552987	45552987
T2_7510	51706250	51706250
T2_7514	57182954	57182954
T2_7530	53716602	53716602
T2_7534	54167114	54167114
T2_7538	49304559	49304559
T2_7542	44109381	44109381
T2_7555	44781816	44781816
T2_7574	45564677	45564677
T2_7590	56404503	56404503
T2_7600	47983025	47983025
T2_7620	47093331	47093331
T2_7623	48020684	48020684
T2_7628	45813370	45813370
T2_7633	46819497	46819497
T2_7652	49297735	49297735
T2_7655	48601088	48601088
T2_7671	46091767	46091767
T3_7002	49236986	49236986
T3_7025	45405739	45405739
T3_7053	46697337	46697337
T3_7055	44755241	44755241
T3_7069	43864592	43864592
T3_7072	46649674	46649674
T3_7078	50449586	50449586
T3_7085	60101537	60101537
T3_7115	50200240	50200240
T3_7128	46713010	46713010
T3_7143	46831963	46831963
T3_7148	49889411	49889411
T3_7154	44883449	44883449
T3_7156	47523748	47523748
T3_7183	45837138	45837138
T3_7197	46365152	46365152
T3_7208	47830423	47830423
T3_7211	54232842	54232842
T3_7237	50131200	50131200
T3_7276	43727720	43727720
T3_7294	54718696	54718696
T3_7326	61246830	61246830
T3_7362	49264257	49264257
T3_7383	65894876	65894876
T3_7396	50910530	50910530
T3_7411	52503158	52503158
T3_7412	49524191	49524191
T3_7436	45997929	45997929
T3_7480	48190438	48190438
T3_7500	55731434	55731434
T3_7507	49729384	49729384
T3_7510	53826184	53826184
T3_7514	69617861	69617861
T3_7530	61075508	61075508
T3_7534	46056146	46056146
T3_7538	56700932	56700932
T3_7542	48265265	48265265
T3_7555	53522705	53522705
T3_7574	54385891	54385891
T3_7590	53694525	53694525
T3_7600	51272840	51272840
T3_7620	46392411	46392411
T3_7623	52480970	52480970
T3_7628	56115115	56115115
T3_7633	59544841	59544841
T3_7652	55933454	55933454
T3_7655	49597609	49597609
T3_7671	59542561	59542561
